2019-10-25 21:13:32.813335,t,20.0,28.61
2019-10-25 21:13:33.837772,t,20.0,28.71
2019-10-25 21:13:34.846082,t,20.0,28.90
2019-10-25 21:13:35.790434,l,20.0,0.33
2019-10-25 21:13:35.870483,t,20.0,28.57
2019-10-25 21:13:36.286650,l,20.0,0.43
2019-10-25 21:13:36.798886,l,20.0,0.62
2019-10-25 21:13:36.878914,t,20.0,28.28
2019-10-25 21:13:37.295083,l,20.0,0.29
2019-10-25 21:13:37.791275,l,20.0,0.0
2019-10-25 21:13:37.903362,t,20.0,28.36
2019-10-25 21:13:38.303519,l,20.0,0.8
2019-10-25 21:13:38.799680,l,20.0,0.52
2019-10-25 21:13:38.928772,t,20.0,28.80
2019-10-25 21:13:39.295948,l,20.0,0.56
2019-10-25 21:13:39.808106,l,20.0,0.56
2019-10-25 21:13:39.936137,t,20.0,28.84
2019-10-25 21:13:40.304315,l,20.0,0.19
2019-10-25 21:13:40.800454,l,20.0,0.11
2019-10-25 21:13:40.960504,t,20.0,28.84
2019-10-25 21:13:41.296673,l,20.0,0.51
2019-10-25 21:13:41.808794,l,20.0,0.43
2019-10-25 21:13:41.968880,t,20.0,28.47
2019-10-25 21:13:42.305004,l,20.0,0.5
2019-10-25 21:13:42.801233,l,20.0,0.8
2019-10-25 21:13:42.993258,t,20.0,28.39
2019-10-25 21:13:43.313470,l,20.0,0.93
2019-10-25 21:13:43.809636,l,20.0,0.30
2019-10-25 21:13:44.001709,t,20.0,28.79
2019-10-25 21:13:44.305827,l,20.0,0.66
2019-10-25 21:13:44.802016,l,20.0,0.69
2019-10-25 21:13:45.026110,t,20.0,28.71
2019-10-25 21:13:45.314231,l,20.0,0.32
2019-10-25 21:13:45.810513,l,20.0,0.17
2019-10-25 21:13:46.034524,t,20.0,28.33
2019-10-25 21:13:46.306614,l,20.0,0.47
2019-10-25 21:13:46.802824,l,20.0,0.72
2019-10-25 21:13:47.058942,t,20.0,28.36
2019-10-25 21:13:47.315059,l,20.0,0.68
2019-10-25 21:13:47.811263,l,20.0,0.80
2019-10-25 21:13:48.067285,t,20.0,28.121
2019-10-25 21:13:48.307394,l,20.0,0.23
2019-10-25 21:13:48.819649,l,20.0,0.49
2019-10-25 21:13:49.075743,t,20.0,28.58
2019-10-25 21:13:49.315885,l,20.0,0.92
